sequence_number,flow_number,flow_name,block_number,from,to,return_value,events,console_logs
,,,1,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,UniswapV2ERC20(0x5fbdb2315678afecb367f032d93f642f64180aa3),[],[]
,,,2,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,A,None,[UniswapV2ERC20.Transfer(from_=0x0000000000000000000000000000000000000000, to=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, value=300000000000000000000)],[]
,,,3,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,A,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x70997970c51812dc3a010c7d01b50e0d17dc79c8, value=100000000000000000000)],[]
,,,4,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,A,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc, value=100000000000000000000)],[]
,,,5,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,A,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x90f79bf6eb2c4f870365e785982e1f101e93b906, value=100000000000000000000)],[]
,,,6,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,UniswapV2ERC20(0x5fc8d32690cc91d4c39d9d3abcbd16989f875707),[],[]
,,,7,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,B,None,[UniswapV2ERC20.Transfer(from_=0x0000000000000000000000000000000000000000, to=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, value=300000000000000000000)],[]
,,,8,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,B,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x70997970c51812dc3a010c7d01b50e0d17dc79c8, value=100000000000000000000)],[]
,,,9,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,B,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc, value=100000000000000000000)],[]
,,,10,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,B,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x90f79bf6eb2c4f870365e785982e1f101e93b906, value=100000000000000000000)],[]
,,,11,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,UniswapV2ERC20(0x610178da211fef7d417bc0e6fed39f05609ad788),[],[]
,,,12,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,C,None,[UniswapV2ERC20.Transfer(from_=0x0000000000000000000000000000000000000000, to=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, value=300000000000000000000)],[]
,,,13,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,C,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x70997970c51812dc3a010c7d01b50e0d17dc79c8, value=100000000000000000000)],[]
,,,14,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,C,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc, value=100000000000000000000)],[]
,,,15,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,C,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x90f79bf6eb2c4f870365e785982e1f101e93b906, value=100000000000000000000)],[]
,,,16,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,UniswapV2ERC20(0x0b306bf915c4d645ff596e518faf3f9669b97016),[],[]
,,,17,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,D,None,[UniswapV2ERC20.Transfer(from_=0x0000000000000000000000000000000000000000, to=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, value=300000000000000000000)],[]
,,,18,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,D,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x70997970c51812dc3a010c7d01b50e0d17dc79c8, value=100000000000000000000)],[]
,,,19,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,D,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc, value=100000000000000000000)],[]
,,,20,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,D,True,[UniswapV2ERC20.Transfer(from_=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, to=0x90f79bf6eb2c4f870365e785982e1f101e93b906, value=100000000000000000000)],[]
,,,21,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,UniswapV2Factory(0xc6e7df5e7b4f2a278906862b61205850344d4e7d),[],[]
,,,22,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0xc6e7df5e7b4f2a278906862b61205850344d4e7d,0x10845004a26274297f2e404eda213fed72decf44,[UniswapV2Factory.PairCreated(token0=0x5fbdb2315678afecb367f032d93f642f64180aa3, token1=0x5fc8d32690cc91d4c39d9d3abcbd16989f875707, pair=0x10845004a26274297f2e404eda213fed72decf44, param1=1)],[]
,,,23,Alice,A,True,[UniswapV2ERC20.Transfer(from_=0x70997970c51812dc3a010c7d01b50e0d17dc79c8, to=0x10845004a26274297f2e404eda213fed72decf44, value=1001)],[]
