sequence_number,flow_number,flow_name,block_number,from,to,return_value,events,console_logs
,,,1,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,DSToken(0x5fbdb2315678afecb367f032d93f642f64180aa3),[DSAuthEvents.LogSetOwner(owner=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266)],[]
,,,2,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,DSValue(0xe7f1725e7734ce288f8367e1bb143e90bb3f0512),[DSAuthEvents.LogSetOwner(owner=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266)],[]
,,,3,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,DSValue(0x9fe46736679d2d9a65f0992f2272de9f3c7fa6e0),[DSAuthEvents.LogSetOwner(owner=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266)],[]
,,,4,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,GemPit(0xcf7ed3acca5a467e9e704c703e8d87f634fb0fc9),[],[]
,,,5,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,DSAuth(0xdc64a140aa3e981100a9beca4e685f962f0cf6c9),[DSAuthEvents.LogSetOwner(owner=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266)],[]
,,,6,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,Erc20(0x5fc8d32690cc91d4c39d9d3abcbd16989f875707),[ERC20Events.Transfer(src=0x0000000000000000000000000000000000000000, dst=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, wad=300000000000000000000)],[]
,,,7,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fc8d32690cc91d4c39d9d3abcbd16989f875707,True,[ERC20Events.Transfer(src=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, dst=0x70997970c51812dc3a010c7d01b50e0d17dc79c8, wad=100000000000000000000)],[]
,,,8,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fc8d32690cc91d4c39d9d3abcbd16989f875707,True,[ERC20Events.Transfer(src=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, dst=0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc, wad=100000000000000000000)],[]
,,,9,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fc8d32690cc91d4c39d9d3abcbd16989f875707,True,[ERC20Events.Transfer(src=0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266, dst=0x90f79bf6eb2c4f870365e785982e1f101e93b906, wad=100000000000000000000)],[]
,,,10,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,None,GemFab(0x8a791620dd6260079bf849dc5567adc3f2fdc318),[],[]
